"ACTIVITY";"AGE";"DERA_MEASURE";"FREQ";"GEO";"GEO_OBJECT";"NUMBER_EMPL";"PCS_ESE";"QUANTILE";"SEX";"UNIT_MEASURE";"WKTIME";"TIME_PERIOD";"OBS_VALUE"
"M_N";"Y50T59";"EFFECTIFS_EQTP";"A";"F";"FRANCE";"E250T499";"3";"_T";"M";"FT";"_T";2023;9945.57
"_T";"Y_LT30";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"_T";"388E";"_T";"_T";"XDC";"_T";2023;3052.46
"_T";"Y30T39";"EFFECTIFS_EQTP";"A";"F";"FRANCE";"_T";"387C";"_T";"_T";"FT";"_T";2023;12733.57
"_T";"Y_LT30";"EFFECTIFS_EQTP";"A";"F";"FRANCE";"_T";"372A";"_T";"_T";"FT";"_T";2023;21336.11
"_T";"Y30T39";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"_T";"385A";"_T";"_T";"XDC";"_T";2023;3822.92
"_T";"_T";"EFFECTIFS_EQTP";"A";"F";"FRANCE";"_T";"389C";"_T";"_T";"FT";"_T";2023;4687.63
"_T";"Y_GE60";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"_T";"383C";"_T";"_T";"XDC";"_T";2023;6221.38
"_T";"Y_LT30";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"_T";"371A";"_T";"_T";"XDC";"_T";2023;3445.43
"_T";"_T";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"_T";"311C";"_T";"F";"XDC";"_T";2023;6878.24
"M_N";"_T";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"E_LT5";"3";"_T";"_T";"XDC";"PT";2023;3435.62
"_T";"Y_LT30";"EFFECTIFS_EQTP";"A";"F";"FRANCE";"_T";"388E";"_T";"_T";"FT";"_T";2023;2736.44
"OTQ";"Y_LT30";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"_T";"4";"_T";"F";"XDC";"FT";2023;2151.57
"M_N";"_T";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"_T";"4";"_T";"M";"XDC";"PT";2023;2514.7
"H";"Y30T39";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"E250T499";"4";"_T";"_T";"XDC";"_T";2023;2688.86
"F";"Y30T39";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"E50T99";"4";"_T";"M";"XDC";"_T";2023;2772.07
"_T";"_T";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"_T";"4";"_T";"M";"XDC";"FT";2023;2823.09
"I";"_T";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"E20T49";"4";"_T";"F";"XDC";"_T";2023;2256.06
"F";"_T";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"_T";"4";"_T";"_T";"XDC";"_T";2023;2723.3
"_T";"Y30T39";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"E2000T4999";"3";"_T";"_T";"XDC";"_T";2023;4139.55
"C10T12";"_T";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"_T";"3";"_T";"M";"XDC";"_T";2023;4681.64
"_T";"_T";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"E_GE5000";"3";"_T";"_T";"XDC";"PT";2023;4645.71
"K";"_T";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"_T";"3";"_T";"M";"XDC";"PT";2023;6321.31
"_T";"Y_LT30";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"E_LT5";"3";"_T";"M";"XDC";"_T";2023;2727.42
"_T";"Y50T59";"EFFECTIFS_EQTP";"A";"F";"FRANCE";"E5T9";"3";"_T";"F";"FT";"PT";2023;3298.22
"_T";"Y30T39";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"E50T99";"3";"_T";"_T";"XDC";"PT";2023;3543.53
"F";"Y40T49";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"_T";"3";"_T";"_T";"XDC";"PT";2023;3362.87
"OTQ";"Y_LT30";"EFFECTIFS_EQTP";"A";"F";"FRANCE";"E50T99";"3";"_T";"F";"FT";"_T";2023;2158.29
"_T";"Y50T59";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"E500T999";"3";"_T";"_T";"XDC";"_T";2023;6139.06
"_T";"_T";"EFFECTIFS_EQTP";"A";"F";"FRANCE";"_T";"384A";"_T";"_T";"FT";"_T";2023;67827.77
"_T";"Y40T49";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"E_LT5";"3";"_T";"F";"XDC";"FT";2023;3686.12
"_T";"Y_GE60";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"_T";"382B";"_T";"_T";"XDC";"_T";2023;4873.24
"_T";"_T";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"_T";"382C";"_T";"_T";"XDC";"_T";2023;3950.75
"_T";"Y_GE60";"EFFECTIFS_EQTP";"A";"F";"FRANCE";"_T";"382B";"_T";"_T";"FT";"_T";2023;830.28
"OTQ";"Y50T59";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"E_LT5";"3";"_T";"M";"XDC";"_T";2023;3422.54
"M_N";"Y50T59";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"E_LT5";"3";"_T";"_T";"XDC";"FT";2023;4508.05
"_T";"Y40T49";"EFFECTIFS_EQTP";"A";"F";"FRANCE";"_T";"374B";"_T";"_T";"FT";"_T";2023;17862.38
"_T";"_T";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"_T";"374B";"_T";"F";"XDC";"_T";2023;4210.1
"OTQ";"Y40T49";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"E100T249";"3";"_T";"_T";"XDC";"FT";2023;3813.94
"F";"Y30T39";"EFFECTIFS_EQTP";"A";"F";"FRANCE";"E20T49";"3";"_T";"_T";"FT";"_T";2023;9377.24
"H";"Y_GE60";"EFFECTIFS_EQTP";"A";"F";"FRANCE";"_T";"3";"_T";"M";"FT";"PT";2023;1712.54
"R_S";"Y_GE60";"EFFECTIFS_EQTP";"A";"F";"FRANCE";"_T";"3";"_T";"F";"FT";"_T";2023;4997.07
"J";"Y_LT30";"EFFECTIFS_EQTP";"A";"F";"FRANCE";"E10T19";"3";"_T";"_T";"FT";"_T";2023;9412.82
"C_OTH";"Y40T49";"EFFECTIFS_EQTP";"A";"F";"FRANCE";"E10T19";"3";"_T";"_T";"FT";"_T";2023;4142.13
"F";"Y30T39";"EFFECTIFS_EQTP";"A";"F";"FRANCE";"E5T9";"3";"_T";"M";"FT";"_T";2023;4556.65
"_T";"_T";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"_T";"233D";"_T";"M";"XDC";"_T";2023;5032.71
"H";"Y40T49";"EFFECTIFS_EQTP";"A";"F";"FRANCE";"E250T499";"3";"_T";"M";"FT";"_T";2023;5367.46
"_T";"Y_GE60";"EFFECTIFS_EQTP";"A";"F";"FRANCE";"E100T249";"3";"_T";"_T";"FT";"PT";2023;3619.89
"J";"Y40T49";"EFFECTIFS_EQTP";"A";"F";"FRANCE";"E_LT5";"3";"_T";"_T";"FT";"_T";2023;15961.76
"M_N";"Y30T39";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"_T";"4";"_T";"M";"XDC";"FT";2023;2553.28
"C_OTH";"Y40T49";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"E10T19";"4";"_T";"M";"XDC";"_T";2023;2906.29
"I";"_T";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"_T";"4";"_T";"M";"XDC";"FT";2023;2423.68
"_T";"_T";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"E250T499";"4";"_T";"_T";"XDC";"_T";2023;2887.4
"_T";"_T";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"E_LT5";"4";"_T";"_T";"XDC";"PT";2023;2281.03
"_T";"Y_LT30";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"E20T49";"4";"_T";"M";"XDC";"_T";2023;2257.36
"OTQ";"_T";"EFFECTIFS_EQTP";"A";"F";"FRANCE";"E50T99";"4";"_T";"F";"FT";"PT";2023;18141.79
"_T";"Y_GE60";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"E500T999";"4";"_T";"F";"XDC";"_T";2023;3378.33
"OTQ";"Y40T49";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"_T";"4";"_T";"_T";"XDC";"PT";2023;2355.83
"B_D_E";"_T";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"E_LT5";"4";"_T";"_T";"XDC";"_T";2023;2767.76
"_T";"Y_GE60";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"E250T499";"3";"_T";"_T";"XDC";"FT";2023;6858.38
"M_N";"_T";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"_T";"3";"_T";"M";"XDC";"FT";2023;4893.24
"_T";"Y40T49";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"E5T9";"3";"_T";"_T";"XDC";"_T";2023;4122.92
"J";"_T";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"E50T99";"3";"_T";"M";"XDC";"_T";2023;4598.8
"M_N";"_T";"EFFECTIFS_EQTP";"A";"F";"FRANCE";"E100T249";"3";"_T";"F";"FT";"FT";2023;52985.59
